date,temp_max,temp_min,precipitation_mm,wind_kmh
2023-09-05,21.7,14.2,0.3,12.1
2023-09-06,13.8,8.7,1.5,18.2
2023-09-07,22.2,17.7,4.2,24.0
2023-09-08,13.5,5.1,6.2,13.1
2023-09-09,17.1,9.9,1.6,16.7
2023-09-10,15.3,9.4,0.6,11.0
2023-09-11,15.9,11.5,0.5,24.0
2023-09-12,13.9,5.7,1.4,16.1
2023-09-13,26.1,18.0,0.9,12.3
2023-09-14,18.7,13.4,4.2,24.2
2023-09-15,18.4,10.1,4.0,20.5
2023-09-16,19.3,11.8,2.3,17.5
2023-09-17,21.5,16.7,4.3,18.2
2023-09-18,15.3,9.7,2.7,15.7
2023-09-19,17.5,9.3,1.4,13.0
2023-09-20,16.8,9.6,0.6,15.2
2023-09-21,18.6,10.7,0.2,25.8
2023-09-22,17.0,8.2,0.8,22.9
2023-09-23,18.4,13.9,5.5,15.9
2023-09-24,14.2,8.7,2.5,16.0
2023-09-25,16.5,10.8,1.9,11.5
2023-09-26,13.8,6.0,0.0,16.9
2023-09-27,22.3,14.8,1.2,14.7
2023-09-28,10.2,5.4,3.2,4.0
2023-09-29,11.9,7.5,2.3,18.5
2023-09-30,10.9,2.1,0.3,19.4
2023-10-01,18.6,12.5,2.0,14.5
2023-10-02,9.9,1.0,1.1,11.5
2023-10-03,15.0,10.0,0.1,16.8
2023-10-04,11.0,2.7,1.3,22.2
2023-10-05,17.4,9.5,3.7,17.3
2023-10-06,18.6,13.9,0.1,21.6
2023-10-07,16.8,8.8,1.3,18.5
2023-10-08,13.3,8.3,1.4,24.0
2023-10-09,16.5,11.2,3.2,11.6
2023-10-10,14.2,10.2,0.2,5.6
2023-10-11,14.2,7.2,0.7,2.9
2023-10-12,19.1,11.2,0.1,17.1
2023-10-13,12.1,6.9,8.6,14.8
2023-10-14,16.0,8.9,2.4,9.2
2023-10-15,15.1,9.5,1.5,15.1
2023-10-16,15.0,10.8,0.2,11.6
2023-10-17,12.0,5.2,2.3,13.6
2023-10-18,13.7,8.9,0.2,17.9
2023-10-19,21.6,17.4,5.5,
2023-10-20,16.2,8.7,4.1,11.8
2023-10-21,19.6,13.9,3.4,18.2
2023-10-22,21.3,15.0,2.1,16.0
2023-10-23,22.9,18.5,0.1,16.0
2023-10-24,13.4,5.0,0.5,12.6
2023-10-25,18.1,10.8,1.4,12.1
2023-10-26,22.9,17.8,11.2,17.2
2023-10-27,16.2,11.2,2.3,15.6
2023-10-28,15.0,6.6,2.6,6.7
2023-10-29,14.1,8.3,0.9,22.9
2023-10-30,16.9,10.7,2.6,20.2
2023-10-31,20.3,11.8,1.1,14.8
2023-11-01,18.6,10.0,0.5,7.1
2023-11-02,21.9,14.2,0.3,21.9
2023-11-03,18.0,13.1,0.5,16.3
2023-11-04,15.9,10.7,4.1,20.9
2023-11-05,19.1,13.3,1.8,0.8
2023-11-06,14.6,5.7,0.6,9.4
2023-11-07,10.8,3.0,0.3,20.8
2023-11-08,15.8,10.6,0.2,17.4
2023-11-09,16.3,10.6,3.5,8.6
2023-11-10,9.8,2.7,2.5,12.9
2023-11-11,14.6,10.4,2.7,13.3
2023-11-12,14.7,6.5,3.3,25.4
2023-11-13,20.1,15.1,0.2,16.2
2023-11-14,15.7,9.1,5.5,14.8
2023-11-15,18.9,13.3,1.4,14.6
2023-11-16,19.7,13.4,1.4,16.7
2023-11-17,24.4,19.7,0.1,14.3
2023-11-18,20.4,15.4,2.2,9.8
2023-11-19,58.0,5.2,0.4,24.6
2023-11-20,19.5,10.8,2.3,17.5
2023-11-21,25.6,17.3,1.7,14.7
2023-11-22,20.4,15.3,2.2,20.9
2023-11-23,22.5,18.0,2.1,9.3
2023-11-24,15.7,7.4,3.1,16.6
2023-11-25,22.5,14.1,1.0,17.3
2023-11-26,20.8,12.7,2.9,8.9
2023-11-27,14.8,6.7,0.3,21.9
2023-11-28,15.3,9.7,0.9,15.1
2023-11-29,22.4,16.4,1.2,
2023-11-30,13.4,8.3,0.2,8.4
2023-12-01,13.6,6.5,1.2,
2023-12-02,10.9,4.3,1.3,13.4
2023-12-03,1.4,-5.5,1.5,6.8
2023-12-04,12.5,4.5,2.5,17.8
2023-12-05,10.0,4.8,,16.4
2023-12-06,4.0,-2.4,0.6,13.6
2023-12-07,3.0,-5.0,1.5,9.5
2023-12-08,10.7,3.1,0.6,7.1
2023-12-09,3.1,-1.8,2.3,13.9
2023-12-10,7.4,-0.1,0.2,8.3
2023-12-11,0.6,-8.2,1.3,17.2
2023-12-12,7.9,3.7,2.0,21.8
2023-12-13,7.5,-0.6,4.3,17.7
2023-12-14,4.2,-2.9,1.1,11.7
2023-12-15,2.0,-5.9,0.6,11.5
2023-12-16,5.8,-1.5,0.2,21.2
2023-12-17,3.7,-3.3,0.4,25.7
2023-12-18,9.5,4.5,0.2,17.1
2023-12-19,7.2,0.1,1.6,14.3
2023-12-20,4.8,-2.2,1.4,8.2
2023-12-21,3.8,-2.4,2.5,23.2
2023-12-22,9.3,3.9,0.2,23.1
2023-12-23,4.7,-0.5,0.9,9.9
2023-12-24,7.1,2.8,3.2,11.2
2023-12-25,7.9,-0.5,2.1,7.2
2023-12-26,-1.0,-6.6,2.2,16.9
2023-12-27,13.7,7.4,0.1,17.1
2023-12-28,9.2,4.4,2.3,15.4
2023-12-29,7.7,3.2,1.2,7.9
2023-12-30,4.1,-3.3,3.2,21.2
2023-12-31,2.6,-6.3,5.2,13.4
2024-01-01,11.9,5.2,2.0,15.7
2024-01-02,7.8,3.1,3.5,13.5
2024-01-03,9.8,5.7,0.7,19.8
2024-01-04,3.9,-0.6,5.5,8.3
2024-01-05,-0.3,-6.3,1.2,17.5
2024-01-06,8.6,-0.0,1.4,27.5
2024-01-07,7.3,1.4,4.2,14.5
2024-01-08,8.1,0.1,0.7,16.6
2024-01-09,6.3,1.4,2.4,11.2
2024-01-10,7.1,-0.1,3.5,15.0
2024-01-11,6.9,-0.1,2.9,19.1
2024-01-12,7.0,1.0,0.3,8.4
2024-01-13,4.6,0.4,0.3,14.1
2024-01-14,7.2,-1.6,1.1,17.6
2024-01-15,7.3,1.1,0.2,5.1
2024-01-16,2.2,-4.9,2.1,18.0
2024-01-17,6.1,1.9,10.5,22.5
2024-01-18,7.6,-1.3,0.5,13.3
2024-01-19,4.5,-2.9,,13.5
2024-01-20,7.6,-0.4,1.9,15.0
2024-01-21,10.8,4.2,1.1,7.6
2024-01-22,1.5,-4.3,1.1,13.9
2024-01-23,9.2,1.3,0.0,18.8
2024-01-24,4.7,0.6,0.6,2.0
2024-01-25,4.8,-1.9,0.5,17.0
2024-01-26,6.9,2.4,1.6,17.9
2024-01-27,11.8,7.3,1.3,14.2
2024-01-28,5.2,-2.5,1.3,10.6
2024-01-29,1.5,-4.8,3.1,6.9
2024-01-30,4.3,-3.1,1.2,20.2
2024-01-31,9.7,5.5,4.6,12.6
2024-02-01,15.6,8.3,4.5,12.0
2024-02-02,12.2,7.9,1.5,22.8
2024-02-03,8.8,2.3,2.3,11.6
2024-02-04,5.5,1.2,0.0,15.9
2024-02-05,1.6,-4.1,3.0,10.1
2024-02-06,2.8,-2.1,0.2,17.7
2024-02-07,11.7,6.4,0.0,18.6
2024-02-08,11.0,3.9,1.0,11.2
2024-02-09,5.7,-1.4,3.0,13.7
2024-02-10,8.8,4.6,6.9,25.8
2024-02-11,4.4,-4.5,1.8,19.6
2024-02-12,13.1,5.1,2.1,17.5
2024-02-13,5.5,-3.1,0.5,10.8
2024-02-14,2.8,-3.4,1.9,5.2
2024-02-15,6.1,-2.3,2.1,13.6
2024-02-16,10.4,2.1,3.7,12.1
2024-02-17,6.3,-1.4,,16.4
2024-02-18,9.0,1.1,2.1,18.7
2024-02-19,7.7,-1.2,5.5,8.5
2024-02-20,8.6,0.5,0.5,11.7
2024-02-21,12.0,4.3,1.6,15.1
2024-02-22,8.0,2.5,1.7,28.0
2024-02-23,10.0,2.8,2.9,16.9
2024-02-24,6.4,2.4,0.6,8.9
2024-02-25,6.2,-1.8,0.5,10.7
2024-02-26,13.7,6.6,0.4,17.0
2024-02-27,11.8,5.0,0.0,12.0
2024-02-28,3.9,-4.9,0.9,18.2
2024-02-29,3.5,-2.1,4.2,12.8
2024-03-01,21.9,13.5,1.8,13.0
2024-03-02,9.3,1.8,0.0,6.2
2024-03-03,8.9,0.9,0.2,21.3
2024-03-04,12.8,5.6,,27.8
2024-03-05,21.2,14.4,1.9,25.0
2024-03-06,19.1,13.7,3.5,18.0
2024-03-07,11.7,7.4,0.8,15.0
2024-03-08,17.8,9.8,1.5,19.8
2024-03-09,10.4,4.8,1.1,14.0
2024-03-10,14.7,7.7,,14.4
2024-03-11,10.9,3.7,3.1,24.3
2024-03-12,14.1,5.9,1.0,10.2
2024-03-13,22.5,17.6,0.9,22.7
2024-03-14,15.6,10.1,5.6,6.2
2024-03-15,13.1,4.8,3.7,7.0
2024-03-16,17.1,10.8,1.3,12.3
2024-03-17,14.9,8.7,2.6,23.9
2024-03-18,12.6,5.5,0.3,17.3
2024-03-19,18.1,9.3,0.1,21.1
2024-03-20,14.6,9.3,0.6,14.0
2024-03-21,14.1,8.7,2.8,16.8
2024-03-22,21.0,16.6,1.3,13.6
2024-03-23,5.3,-0.4,4.6,19.4
2024-03-24,15.3,6.6,0.1,17.6
2024-03-25,8.7,1.1,8.0,12.4
2024-03-26,18.2,13.2,1.7,8.7
2024-03-27,16.9,9.8,0.9,14.8
2024-03-28,12.1,3.8,1.6,10.9
2024-03-29,10.9,2.6,2.6,15.3
2024-03-30,15.7,9.0,0.2,13.2
2024-03-31,10.7,5.9,5.8,0.4
2024-04-01,16.7,10.4,1.1,19.5
2024-04-02,17.5,13.2,1.4,25.3
2024-04-03,14.3,10.0,3.1,21.9
2024-04-04,12.4,7.6,0.8,11.0
2024-04-05,15.5,10.5,4.2,23.1
2024-04-06,13.8,4.9,3.0,7.2
2024-04-07,18.5,11.8,1.4,14.6
2024-04-08,16.2,8.1,1.0,11.2
2024-04-09,15.5,10.0,3.1,7.8
2024-04-10,22.5,14.5,1.0,20.4
2024-04-11,15.3,10.5,2.4,19.3
2024-04-12,12.4,4.1,4.7,20.1
2024-04-13,13.7,8.7,4.5,13.0
2024-04-14,11.2,5.0,1.9,17.1
2024-04-15,15.1,6.3,1.1,22.1
2024-04-16,10.8,2.3,1.1,17.1
2024-04-17,19.7,12.2,4.4,27.9
2024-04-18,15.8,10.8,3.9,13.2
2024-04-19,15.7,8.1,0.8,21.6
2024-04-20,20.3,14.0,0.9,14.4
2024-04-21,20.2,14.5,0.4,14.9
2024-04-22,18.4,13.9,0.5,17.7
2024-04-23,13.4,7.2,2.8,10.4
2024-04-24,19.9,14.1,3.7,22.6
2024-04-25,16.6,9.4,0.3,14.9
2024-04-26,10.3,2.9,0.1,20.9
2024-04-27,16.1,11.0,3.6,13.7
2024-04-28,18.5,11.0,1.4,8.3
2024-04-29,11.0,6.8,0.7,11.6
2024-04-30,17.1,8.7,2.9,15.9
2024-05-01,17.5,12.2,4.8,20.5
2024-05-02,17.7,13.1,1.2,24.5
2024-05-03,19.4,12.7,1.0,14.4
2024-05-04,12.9,5.2,5.0,14.5
2024-05-05,17.8,12.4,4.8,12.8
2024-05-06,18.0,13.9,6.6,18.1
2024-05-07,11.3,3.1,0.7,20.4
2024-05-08,16.5,12.0,0.6,24.2
2024-05-09,14.9,9.4,1.8,13.5
2024-05-10,10.8,3.1,0.1,9.7
2024-05-11,18.8,10.3,0.4,23.6
2024-05-12,14.6,6.6,0.1,14.2
2024-05-13,15.3,11.0,3.6,20.8
2024-05-14,11.3,6.8,4.8,16.2
2024-05-15,18.9,10.5,1.7,17.5
2024-05-16,4.2,-1.4,1.1,18.4
2024-05-17,17.0,8.6,1.2,21.9
2024-05-18,21.4,14.5,2.4,21.6
2024-05-19,15.3,10.8,1.0,7.0
2024-05-20,23.7,14.9,1.8,14.1
2024-05-21,15.2,8.0,0.1,23.5
2024-05-22,12.0,5.7,0.1,8.4
2024-05-23,13.3,4.4,0.8,11.5
2024-05-24,9.4,2.3,0.7,14.6
2024-05-25,15.3,11.3,0.0,7.7
2024-05-26,13.8,5.8,1.7,11.2
2024-05-27,7.5,-1.2,1.0,15.6
2024-05-28,15.9,11.3,0.8,11.2
2024-05-29,19.3,12.8,2.4,15.1
2024-05-30,12.2,6.1,1.1,7.4
2024-05-31,16.1,9.0,0.7,17.5
2024-06-01,22.6,17.3,,15.7
2024-06-02,33.1,28.5,1.0,19.5
2024-06-03,14.2,9.6,1.1,11.4
2024-06-04,24.3,19.9,0.9,15.4
2024-06-05,25.8,18.4,0.9,17.2
2024-06-06,24.5,17.3,4.9,15.1
2024-06-07,29.8,22.1,0.3,16.4
2024-06-08,19.3,15.2,1.1,15.5
2024-06-09,24.4,17.5,0.1,5.6
2024-06-10,25.8,20.1,2.6,9.9
2024-06-11,29.8,22.4,1.1,17.1
2024-06-12,19.0,13.5,3.1,19.6
2024-06-13,32.0,23.9,3.9,13.7
2024-06-14,24.3,18.7,1.7,19.1
2024-06-15,31.5,24.0,2.3,
2024-06-16,19.5,13.4,0.3,12.9
2024-06-17,23.5,18.7,,18.9
2024-06-18,31.6,25.8,0.1,22.0
2024-06-19,16.6,9.2,1.9,11.0
2024-06-20,18.8,9.9,1.2,12.0
2024-06-21,21.0,14.5,0.1,17.1
2024-06-22,27.7,21.8,0.1,15.0
2024-06-23,24.6,19.8,0.0,13.1
2024-06-24,23.7,18.3,4.6,23.0
2024-06-25,28.5,21.5,,13.3
2024-06-26,24.5,18.5,0.8,17.2
2024-06-27,19.0,12.3,1.6,15.7
2024-06-28,28.2,22.0,0.7,17.5
2024-06-29,21.1,16.8,0.8,11.9
2024-06-30,15.1,8.2,0.3,18.7
2024-07-01,35.4,28.9,1.0,10.4
2024-07-02,30.5,23.4,0.4,24.8
2024-07-03,22.7,16.3,1.6,14.5
2024-07-04,26.3,19.6,4.1,17.3
2024-07-05,26.5,21.9,3.2,13.0
2024-07-06,28.1,19.4,0.3,13.2
2024-07-07,26.9,20.5,4.0,14.9
2024-07-08,16.1,10.7,0.5,21.3
2024-07-09,22.0,15.5,1.4,21.9
2024-07-10,30.3,21.4,1.0,
2024-07-11,27.6,20.7,6.2,18.2
2024-07-12,24.0,15.7,1.2,14.2
2024-07-13,28.0,20.8,,0.3
2024-07-14,24.9,17.5,2.6,13.1
2024-07-15,21.1,15.6,0.9,17.0
2024-07-16,21.9,16.8,6.3,19.3
2024-07-17,29.8,24.3,0.0,17.6
2024-07-18,28.6,20.9,0.3,17.6
2024-07-19,29.0,21.7,2.9,18.8
2024-07-20,26.8,22.3,1.3,20.4
2024-07-21,24.2,18.1,0.1,11.3
2024-07-22,21.0,13.0,5.9,13.5
2024-07-23,15.5,11.1,1.4,16.1
2024-07-24,28.3,24.0,0.2,19.7
2024-07-25,17.0,11.8,0.7,11.2
2024-07-26,29.1,23.5,1.3,14.0
2024-07-27,28.2,19.3,1.9,8.8
2024-07-28,31.8,27.2,4.4,8.5
2024-07-29,9.9,3.0,2.0,15.9
2024-07-30,26.0,20.8,2.5,12.5
2024-07-31,27.4,20.6,1.5,17.5
2024-08-01,27.0,21.6,1.4,12.5
2024-08-02,21.5,14.4,0.1,13.0
2024-08-03,20.9,16.9,1.4,20.6
2024-08-04,23.4,15.2,0.0,15.8
2024-08-05,29.1,23.5,0.2,10.7
2024-08-06,18.3,10.1,0.8,10.9
2024-08-07,26.3,20.1,4.8,16.0
2024-08-08,27.0,22.5,2.3,14.5
2024-08-09,12.8,5.6,2.4,14.3
2024-08-10,29.8,21.0,2.9,21.2
2024-08-11,25.4,20.0,0.2,16.0
2024-08-12,28.1,23.8,0.9,21.0
2024-08-13,25.0,18.8,1.2,18.0
2024-08-14,22.2,16.4,0.1,8.9
2024-08-15,22.7,14.6,3.8,22.3
2024-08-16,28.1,21.7,4.2,9.3
2024-08-17,28.4,21.3,0.7,9.6
2024-08-18,26.9,19.2,0.8,10.5
2024-08-19,19.1,11.5,0.4,23.2
2024-08-20,23.4,17.5,0.1,18.0
2024-08-21,25.2,19.9,3.6,10.0
2024-08-22,23.9,17.4,1.0,10.0
2024-08-23,37.1,33.0,1.2,18.9
2024-08-24,25.1,17.7,0.7,17.7
2024-08-25,28.6,22.0,7.5,18.6
2024-08-26,28.4,23.8,0.6,18.0
2024-08-27,25.5,19.8,0.9,22.7
